NOMBRE,ORG TYPE
"Derecho, Ambiente y Recursos Naturales",6
DERIVE LAB SC,6
Detona,9
Digital Network SRL,1
Dirección de Gobierno Abierto y Datos Abiertos,4
Dirección de Gobierno Abierto y Datos Abiertos de la Provincia de Buenos Aires,4
Dirección de Transparencia y Gobierno Abierto de la Provincia de Jujuy,4
Dirección General de Informática de la Municipalidad de Rosario,4
Directorio Legislativo,6
Directorio Legislativo,8
Documenta: Análisis y Acción para la Justicia Social A.C.,6
Dsarhoya SPA,9
DTLNet Ltda.,9
Durán & Asociados SpA.,1
EA TECH,8
Economía Feminista,6
Econsulting S.R.L.,9
Ecosocial Consultores S.A.S,9
Eixo Público - Consultoria Júnior,7
El Caracol,8
El Faro,8
Elleven,9
eMAGIC,1
eMude Tecnologia em Cidades,1
enREDo,8
EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,1
Escuela de Datos,8
Escuela Politécnica Nacional,7
Espacio Público,6
Espanta cacos,8
"Este País, A.C.",6
Estudio Manatí S.A.,9
"Explico, S.A. / Ludiverse Inc.",9
Exxact Negocios Digitales SPA,9
Fáctico Periodismo Móvil,1
"FACTUS,S.A.",9
Faculdade Latino-Americana de Ciências Sociais (Flacso),3
Facultad de Ingenería Universidad de los Andes,7
Faro Digital,6
FGV.CEAPG - Centro de Estudos em Administração Pública e Governo da Escola de Administração de Empresas da Fundação Getulio Vargas,7
FGV.GDHeE - Grupo de Pesquisa Aplicada em Direitos Humanos e Empresas da Fundação Getulio Vargas,7
FGX,1
Fluxo,1
Fórum Brasileiro de Segurança Pública,6
Fundação Darcy Ribeiro,6
FUNDAÇÃO EDUCATIVA E CULTURAL - ARCA,6
Fundación Acción Cultural Loyola (ACLO),6
Fundación Ambiente y Recursos Naturales (FARN),6
Fundación Base Pública,6
Fundación Biciacción,6
Fundación BIT,6
Fundacion Buena Nota,6
Fundación Capital,3
Fundación Centro Latinoamericano de Derechos Humanos,6
Fundación Ciencias de la Documentación,3
Fundación Ciudadana Civio,6
Fundación Ciudadanía y Desarrollo FCD,6
Fundación Ciudadano Inteligente,6
Fundación Cívico Social Pro Cartagena - FUNCICAR,6
Fundación Conocimiento Abierto,6
Fundación CONSTRUIR,6
Fundación ConSuma ConCiencia,6
Fundación Contexto Ciudadano,6
Fundación Corona,6
Fundación Costa Rica para la Innovación,3
Fundación Democracia Digital ECUADOR,6
Fundación Democracia en Red,8
Fundación Democracia y Desarrollo,6
Fundación Desarrollo Social Lealtad Chile,6
Fundación Ecomunidad,6
Fundación Ejercicio Ciudadano,6
Fundación Encuentro para la participación ciudadana y la ampliación de derechos,6
Fundación Enseñá por Argentina,6
Fundación Generación Sin Límite,6
Fundación Gestores Sociales,6
Fundacion Girls in Tech Chile,6
Fundación Gobierno Abierto,8
Fundación Grupo Cívico Ética y Transparencia (EyT),6
"Fundación Hogares, IAP",6
Fundación Huésped,6
Fundacion Ideas para la Paz,8
Fundación InHoy,6
Fundación Juventud Emprendedora,6
Fundación Karisma,6
Fundación LA Network,6
"Fundación Laboratorio de Políticas Públicas, LPP",6
Fundación Latitudes,6
Fundación Mapocho,6
Fundación Medialab Quito,6
Fundación Mexicana para la Planeación Familiar A. C. (MEXFAM),6
Fundación Mi Sangre,6
Fundacion Multitudes,6
Fundación Nacional para el Desarrollo (FUNDE),6
Fundación Naturaleza para el Futuro (FUNAFU),6
Fundación Nicaragüense para la Defensa del Medio Ambiente y Protección de los Recursos Naturales (FUNDENATURA),6
Fundación Nuestra Mendoza,6
Fundación Nuevas Contingencias Sociales,6
Fundación Pacientes Cáncer de Pulmón,6
Fundación para el Desarrollo de Políticas Sustentables (FUNDEPS),6
FUNDACIÓN PARA LAS BUENAS PRÁCTICAS DE LA INTERNET Y LAS TECNOLGÍAS - FUNDABIT,3
Fundación Paraguaya,6
Fundación por una Carrera,6
Fundación Proyecto Propio,6
Fundación Tres Cocos,6
Fundación Villafranca y Zurcher para la educación de la juventud a través del turismo,8
Fundamedios,6
FUNDAPI,6
"Fundar, Centro de Análisis e Investigación",6
GAFIT Soluções em Automação LTDA - ME,1
Geleia .Mob,1
Gênero e Número,1
GEOCENSOS,1
GERICO,8
Girolabs,2
GobiernateAC,8
Gobierno de Minas,4
Gobierno Fácil,1
"Grupo CIDIC + GRUPO CEMOS / Esc. de Ingeniería Eléctrica, Electrónica y de Telecomunicaciones / Universidad Industrial de Santander",7
"Grupo de Estudos sobre Cultura, Representação e Informação Digitais - CRIDI",8
GRUPO DE INOVACION E INTELIGENCIA CIUDADANA,6
Grupo de Investigación de Sistemas Basados en el Conocimiento (Knowledge-based Systems Research Group - KBS-RG) de la Universidad Técnica Particular de Loja,7
Grupo FARO Ame´rica Latina y el Caribe,6
Grupo informal de Creative Commons,8
Grupo Limonta,9
Guarumo,9
Guayí,6
Guegue Vasquez Cia Ltda,9
Hack Hackers Asunción,8
Hack Hackers Lima,8
Hack Hackers Montevideo,8
Hack Hakers Bogotá,8
Hack Hakers La Paz,8
hackalab asuncion,8
Hacklab,9
HackLab Cochabamba,8
Hacklab Serviços de Tecnologia LTDA.,9
Hacks Hackers,8
Harvest API,8
Hiperderecho,6
Hivos,8
Hormiga Investigación,9
How to Build Up,9
ICFJ,8
ICOM - Instituto Comunitário Grande Florianópolis,6
ideales soluciones sociales,6
IFAI,4
igw/as derechos indigenas,8
ILDA,0
Ilhasoft,1
Imaflora,6
Impacto Norte SRL,9
IMPAQTO,8
INCOTEDES,8
INESC-Instituto de Estudos Socioeconômicos,6
InfoAmazonia,8
INKCO SAS,9
Innovavista,9
Innpactia S.A.S.,1
INPPARES - INSTITUTO PERUANO DE PATERNIDAD RESPONSABLES,6
Instituto Acuña,6
INSTITUTO ATLÂNTICO,6
Instituto Banco da Periferia,6
INSTITUTO BANCO DA PERIFERIA - PALMAS LAB,6
Instituto Casa da Cidade,6
Instituto Cidade Democra´tica,6
Instituto Cordial,1
Instituto de Arquitetos do Brasil - Departamento de São Paulo (IAB-SP),6
Instituto de Cidadania Empresarial do Maranhão,6
Instituto de Estudios del Trabajo -INET-,6
Instituto de Liderazgo Simone de Beauvoir A.C.,6
Instituto de Políticas para el Transporte y el Desarrollo (ITDP),6
Instituto del Desarrollo de la Juventud,6
Instituto del Fracaso A.C.,6
INSTITUTO DEMOS,6
Instituto ECOAR para a Cidadania,6
Instituto Educadigital,6
Instituto Floresta Tropical,6
Instituto Humanista de Cooperación para el Desarrollo - HIVOS,6
Instituto Humanitas360,6
Instituto Ilhabela Sustentável,6
"Instituto Metropolitano de Profissionalização, Arte, Cultura e Oportunidades - IMPACTO",6
INSTITUTO MÍDIA ÉTNICA,6
Instituto Nacional de la Economía Social,4
Instituto Nossa Ilhéus,6
Instituto Panameño de Derecho y Nuevas Tecnologías,6
Instituto Para o Desenvolvimento Racional das Cidades,6
Instituto Phomenta,6
Instituto Salvadoreño de Desarrollo Municipal (ISDEM),8
Instituto São Paulo Sustentável,6
Instituto Sincronicidade para a Interação Social (ISPIS),6
Instituto Socioambiental,6
Instituto Soma Brasil,6
Instituto Stela,6
Instituto Veredas,6
Internet of Government (IoG),1
Inventario,8
Inventario,8
Invernaideas,1
"Investigación e Innovación Factual, A.C.",6
Iuristech Solutions,1
JMM TECH,1
Jóvenes Contra la Violencia,6
Kodevian Enterprise Software Solutions,9
Krieger Electronics de Mexico SA de CV,9
Kronoscode,9
la diaria,9
La Voz de Guanacaste,8
LabHacker,6
Laboratório de Inovação e Controle no Setor Público da Universidade Federal do Pará,7
Laboratorio para la Acción Pública,1
LabPLC,8
Ladobe,8
lapublica.org.bo,8
Lar de Maria Dolores,6
Let's Chat,6
Lima Cómo Vamos,6
LlactaLab - Ciudades Sustentables,7
LNData,9
LojaSoft Solutions,1
Loomio Cooperative Limited,8
MAGA Systems & Consulting,9
Malalai Tecnologia de Segurança Ltda,1
Manas Technology Solutions,9
Manejo Inteligente de Residuos y Gestión Ambiental MINGA,1
Mapas Coletivos,8
Medialab Quito,6
Mega Cities,6
México Infórmate,8
MGov Brasil,1
Mindball ONG PLANETA,6
Mingarã. Asociación para el Desarrollo Sustentable,6
Ministerios de Planificación,4
Mismatica Management (Sistemas de gestión Mismatica Chile Limitada),9
MKK Group,1
MOODSTUDIO,9
Movilizatorio,1
Movimento Nossa BH,6
Movimiento Cívico Nacional,6
Movimiento Nacional por la Integridad,6
"Municipalidad de Concepción del Uruguay, Dirección de Control del Gasto",4
Municipalidad de Renca,4
"Municipalidad de Rosario, Secretaria de Economia social, Dirección General de Desarrollo de la Economía Social",4
Municipalidad de San Jorge,4
"Municipalidad San José del Ídolo Suchitepéquez, Guatemala",4
Municipio de Yopal,4
Municipio Verde,1
Muove Brasil,1
MZ Tecnologia,1
Nachhaltigkeit Educação Ltda,9
NAU Interativa,1
Nome Fantasia: Tem Açúcar? (Nome Oficial: Carla Barbedo Zorzanelli 106090877-89 / CNPJ: 19.639.529/0001-88),1
Nova Grupo de Consultoria SAS,9
Núcleo de Informação e Coordenação do Ponto Br - Nic.br,6
Núcleo Digital,9
Nuestra Mendoza,6
O Instituto Ambiental,6
Observatorio ciudadano de la Educación,8
Observatorio de Comunicación PUCV,7
Observatório de Favelas do Rio de Janeiro,6
Observatorio del Gasto Fiscal - via Fundación Contexto Ciudadano,6
Observatorio del Gasto Fiscal - vía Fundación Contexto Ciudadano,6
Observatório do Recife,6
OBSERVATORIO MEXICANO DE LA CRISIS,6
Observatorio sobre los derechos humanos de la niñez y adolescencia Nicaragüense,8
Observatório Social de São José (OSSJ),6
observatorio.eq,8
ODPE.pe,8
oeste.mx,8
Ojo al voto,8
Ojo Público,6
OjoPúblico,6
Olinguito,8
Olmeca Soy,6
On The Move,1
OneEyeAnt,1
Onesmart Technology SA de CV,1
Open Data Perú,6
Open Knowledge Brasil,6
Open Knowledge Ecuador,8
Open Knowledge Foundation,8
Open Knowledge Paraguay,8
"Ouvidoria-Geral da União / Ministério da Transparência, Fiscalização e Controladoria-Geral da União?-CGU",4
PANAPANA INFORMACAO E EDUCACAO LTDA ­ ME,9
parapapapp sas,9
"Participacion Ciudadana, Capitulo Dominicano Transparencia Internacional",6
Partido de la red,8
Periódico El Faro,9
Periodista virtual,8
PHRONESIS PESQUISA E CONSULTORIA EM CIENCIAS SOCIAIS LTD,9
Pictórica Comunicações S/C Ltda,9
PIDES Innovación Social,6
"Plan B para el Desarrollo, AC",6
PLATAFORMA CIUDADANA INTELIGENTE,1
Plataforma Nuup AC,6
Plaza Pública,7
PODER,8
Poder Ciudadano,8
Policéntrico,1
Policía Nacional del Ecuador,4
Politize!,6
Pontificia Universidad Católica del Perú,7
Postdata.club,8
Prince Consulting (KMT BUSINESS EDUCATION SA),9
"Proética, Capítulo peruano de Transparency International",6
"Project on Organizing, Development, Education, and Research (PODER)",6
Promec Projetos e Modelagens em Engenharia e Computação LTDA,1
Properati,1
Prosas tecnologia Social Ltda,1
Protrash,1
Proyecto de Knowledge Sharing Cicatal,7
Public Knowledge,6
Rancho electrónico,8
RANDOM MONKEY,1
Receita federal,1
Red Aceleradora Global,1
Red Argentina para la Cooperacio´n Internacional (RACI),6
Red Ciudadana Nuestra Córdoba – Asociación civil Nuestra Córdoba,6
Red Consejo Ciudadano a la Contraloria A.C.,6
Red de Transparencia Legislativa Argentina,8
Red Infodesarrollo,6
Rede Conhecimento Social,6
Rede de Observatorio Social do Brasil,6
Redlad,6
Repórter Brasil,6
Responsible Business Alliance (RBA),9
Rokode Digital,1
Rosario Mobile Apps,1
Ruta Cívica,6
SEBUSCAN SAS,1
Secretaria de Estado dos Direitos Humanos e Participação Popular,4
Secretaría de Planificación,4
"Secretaria de Planificacion, Desarrollo y Modernizacion de la Municipalidad de San Salvador de Jujuy",4
"Servicios de Ideas Creativas para el Desarrollo de Organizaciones, A.C.",6
Servicios e Información para el Desarrollo Económico Local-SIDEL,6
Servicios Integrales para el Desarrollo,6
Servicios Universitarios y Redes de Conocimiento en Oaxaca A C,6
Silice,1
"Simetría, Centro de Innovación en Políticas Públicas A.C.",6
Sistemas de Información Geográfica para la Planeación y Ordenamiento del Territorio (SIGPOT SA de CV),9
Slashroots,8
Smart Data Services,1
"Social Apps Lab, University of California, Berkeley",7
Socialab Global,1
Socialtic A.C.,6
Sociedad Civil Abriendo Datos Costa Rica,6
"Sociedad de hecho ""La Pesetera""",1
"Sociedad en Movimiento, AC",6
Sociedad Peruana de Derecho Ambiental,6
Socio Público,9
SoftAI,1
Softex,1
Soluntia SA,9
Solvo,1
Sonora Ciudadana AC,6
SpaceshipsLabs,9
Subsidios Claros,1
sudestada.com.uy,8
SUMÁ,1
Surrey CoDE,0
Tannder Corp,1
Taturana Mobilização Social,1
TECHO,6
Techo Internacional (oficina central),6
TEDIC,6
Tekis Tecnologia Avançadas Ltda.,1
The Engine Room,6
The Next Services,1
"Themis Gênero, Justiça e Direitos Humanos",6
Thot Group,1
Tigo,1
Todavia no fue creada una empresa,8
Todos Pela Educação,6
TPP,8
Transformación de Obreros y Técnicos Esperanza de México TOTEM a.c,6
Transparência Brasil,6
Troca: gestão social para a sustentabilidade,9
Trujillo ¡Ahora!,6
Unicef,4
Unidad Positiva Para El Desarrollo Ciudadano - UPDC,6
"Universidad de Chile, Facultad de Ciencias Físicas y Matemáticas, Departamento de Ingeniería Industrial, Centro de Investigación en Inteligencia de Negocios (CEINE)",7
"Universidad de Santiago de Chile, Facultad de Administración y Economía",7
Universidad Nacional (ViveLab),4
Universidad Nacional de Rio Negro.,7
Universidade Federal de Santa Catarina (UFSC),7
UNOSTRES,1
Update,6
uSocial Maps,1
UX,9
V-SMART S.A.,1
Veeduría Distrital de Bogotá,4
Verto Technology Corp,1
Vetor Brasil,6
VISUAL REPORTING TECHNOLOGIES,1
Voter Desenvolvimento de Software Ltda,1
W3,1
WAR Contenidos,9
Wheels,1
Wingu,6
"Wingu, Tecnologìa sin fines de lucro",6
World Resources Institute Brasil - WRI Brasil,6
World Resources Institute México,6
Xue Colombia LTDA,9
YECAS,1
Yeeko Inteligencia Colectiva,1
Youniversys SRL,1
Zapopan Lab,6
Zeus Tecnologica S.A,9
