idUnico,idInitiative,nameInitiative,nameOrg,idOrg,country,idCountry,city,idCity,latitude,longitude,rangoEmpleados,orgCount,projCount
1213,12,Red Ciudadana De Monitoreo De La Calidad Del Aire,Derive Lab,13,México,51,Querétaro,79,20.5888184,-100.3898876,0-5 personas,1,1
1315,13,Fortalecimiento Civico Y Comunitario Por Expertos Sociales ,Olmeca Soy ,15,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,3,2
1416,14,Hackeo Al Gasto Electoral En Las Elecciones Subnacionales - Perú 2018,"Proética, Capítulo Peruano De Transparency International",16,Perú,25,Lima,51,-12.0463731,-77.042754,0-5 personas,1,1
1417,14,Hackeo Al Gasto Electoral En Las Elecciones Subnacionales - Perú 2018,Open Data Perú,17,Perú,25,Lima,51,-12.0463731,-77.042754,6-10 personas,5,1
1518,15,Demokratio,Demokratio ,18,Chile,42,Santiago,92,-33.4488897,-70.6692655,101-500 personas,5,1
1619,16,Hora Salud,Durán & Asociados Spa.,19,Chile,42,Santiago,92,-33.4488897,-70.6692655,0-5 personas,1,1
1720,17,Tour Virtual De Parques Nacionales De Costa Rica,Sociedad Civil Abriendo Datos Costa Rica,20,Costa Rica,78,San José,87,-31.8970823,-61.8598807,0-5 personas,2,1
1821,18,Desarrollo De Sistema Para Transparentar La Gestión Municipal Mijiboa ,Asociación Intermunicipal Del Valle De Jiboa Mijiboa,21,El Salvador,79,San Salvador,89,13.6929403,-89.2181911,11-25 personas,2,1
1822,18,Desarrollo De Sistema Para Transparentar La Gestión Municipal Mijiboa ,Instituto Salvadoreño De Desarrollo Municipal,22,El Salvador,79,Verapaz ,106,13.6438499,-88.8706944,0-5 personas,1,1
1923,19,Monitor De Metas,Núcleo Digital,23,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,6-10 personas,1,1
2024,20,Herramientas Para El Uso Del Open Contracting Data Standard Y Combatirla Captura Del Estado Desde Sociedad Civil,Poder,24,México,51,Puebla,78,19.0414398,-98.2062727,101-500 personas,1,2
2125,21,Plataforma Cívica Ciudadana Cochabamba,Servicios Integrales Para El Desarrollo,25,Bolivia,77,Cochabamba,23,-17.4139766,-66.1653224,6-10 personas,1,2
2226,22,Habítala,Gobierno Fácil,26,México,51,Puebla,78,19.0414398,-98.2062727,6-10 personas,2,1
2327,23,Participación Adolescente,Fundación Mexicana Para La Planeación Familiar A. C. (Mexfam),27,México,51,Tepic,101,21.5041651,-104.8945887,26-50 personas,2,2
2428,24,Estação Juventude Ativa,Instituto Acuña,28,Brasil,57,João Pessoa,44,-7.1194958,-34.8450118,11-25 personas,2,2
2526,25,Serendipia,Gobierno Fácil,26,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,1,2
2629,26,Doctor Smart,Central America Software Services,29,El Salvador,79,San Salvador,89,13.6929403,-89.2181911,0-5 personas,1,1
2730,27,Alerta De Enchentes Na Amazônia,Repórter Brasil,30,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,6-10 personas,2,2
2731,27,Alerta De Enchentes Na Amazônia,Infoamazonia,31,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,26-50 personas,1,4
2820,28,Atisbando El Bus,Sociedad Civil Abriendo Datos Costa Rica,20,Costa Rica,78,San José,87,-31.8970823,-61.8598807,11-25 personas,4,4
29614,29,Sistema De Gestão De Ideias Para Segurança Pública,Departamento De Engenharia E Gestão Do Conhecimento (Degc),614,Brasil,57,Araranguá,4,-28.9361187,-49.4923013,101-500 personas,1,1
29615,29,Sistema De Gestão De Ideias Para Segurança Pública,"Núcleo De Estudos Em Inteligência, Gestão E Tecnologias Para Inovação (Igti)",615,Brasil,57,Araranguá,4,-28.9361187,-49.4923013,101-500 personas,1,5
,29,Sistema De Gestão De Ideias Para Segurança Pública,Universidade Federal De Santa Catarina ,32,Brasil,57,Araranguá,4,-28.9361187,-49.4923013,101-500 personas,1,4
,29,Sistema De Gestão De Ideias Para Segurança Pública,Centro Tecnológico (Ctc),613,Brasil,57,Araranguá,4,-28.9361187,-49.4923013,101-500 personas,1,4
3026,30,Plataforma De Contrataciones Abiertas Mx,Gobierno Fácil,26,México,51,Monterrey,65,25.6866142,-100.3161126,101-500 personas,1,5
3133,31,Girasol Em Rede,Cooperativa Girasol De Cosumo Solidário,33,Brasil,57,Porto Alegre,77,-30.0346471,-51.2176584,11-25 personas,1,5
3234,32,Visualizacion De Los Resultados Del Semáforo De Eliminación De Pobreza,Fundación Paraguaya,34,Paraguay,85,Asunción,6,-25.2637399,-57.575926,6-10 personas,1,5
3335,33,Mi Compromiso Con Bogotá,"Veeduría Distrital De Bogotá, Veeduría Delegada Para La Participación Y Los Programas Especiales",35,Colombia,35,Bogotá,13,4.7109886,-74.072092,26-50 personas,1,5
3436,34,"Observatorio De Femicidios En Latinoamérica Basado En Datos Abiertos Enlazados Y Web Semántica (Lod4Vida, Linked Open Data Por La Vida)",Grupo De Investigación De Sistemas Basados En El Conocimiento - Universidad Técnica Particular De Loja,36,Ecuador,54,Loja,54,-4.0078909,-79.2112769,101-500 personas,1,1
3537,35,¿Cuál Me Lleva?,Sistemas De Información Geográfica Para La Planeación Y Ordenamiento Del Territorio (Sigpot Sa De Cv),37,México,51,Ciudad de México,22,19.4326077,-99.133208,11-25 personas,1,1
3622,36,Desarrollo De Sistema Para La Acreditación Del Derecho A La Identidad (Asemusa). ,Instituto Salvadoreño De Desarrollo Municipal (Isdem),22,El Salvador,79,San Salvador,89,13.6929403,-89.2181911,11-25 personas,1,1
3638,36,Desarrollo De Sistema Para La Acreditación Del Derecho A La Identidad (Asemusa). ,Asociación Ecológica De Los Municipios De Santa Ana (Asemusa),38,El Salvador,79,Texistepeque,102,14.1257455,-89.4954794,0-5 personas,2,1
3739,37,Trainee De Gesta~O Pu´Blica,Vetor Brasil,39,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,6-10 personas,2,1
3840,38,¿Los Conoces? Mapeando El Poder,Asociación Civil Japiqay,40,Perú,25,Lima,51,-12.0463731,-77.042754,26-50 personas,,
3841,38,¿Los Conoces? Mapeando El Poder,The Engine Room,41,Otro,90,Miami,64,25.8058563,-80.189125,26-50 personas,1,1
3942,39,Tecnología Cívica Para Una Sociedad Conectada Y Participativa.,Fundación Corona,42,Colombia,35,Bogotá,13,4.7109886,-74.072092,0-5 personas,1,1
3944,39,Tecnología Cívica Para Una Sociedad Conectada Y Participativa.,Movilizatorio,44,Colombia,35,Bogotá,13,4.7109886,-74.072092,0-5 personas,1,1
3943,39,Tecnología Cívica Para Una Sociedad Conectada Y Participativa.,C230,43,México,51,Ciudad de México ,22,19.4326077,-99.133208,6-10 personas,1,1
4045,40,Rutas De Atención Y Participación Ciudadana,Fundación Gestores Sociales,45,Colombia,35,Bogotá,13,4.7109886,-74.072092,6-10 personas,1,1
4146,41,Usocial Maps,Usocial Maps,46,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,2,1
4249,42,Análisis De Portales De Datos Abiertos Gubernamentales ,Dirección De Gobierno Abierto Y Datos Abiertos,49,Argentina,62,Buenos Aires ,16,-34.6036844,-58.3815591,0-5 personas,2,2
4248,42,Análisis De Portales De Datos Abiertos Gubernamentales (Segunda Carga Con La Metodología. En La Anterior Aplicación No La Llegamos A Cargar),Cainfo,48,Argentina,62,Córdoba,25,-31.4200833,-64.1887761,0-5 personas,2,1
4247,42,Análisis De Portales De Datos Abiertos Gubernamentales (Segunda Carga Con La Metodología. En La Anterior Aplicación No La Llegamos A Cargar),Fundación Conocimiento Abierto ,47,Uruguay,55,Montevideo,66,-34.9011127,-56.1645314,6-10 personas,1,1
4352,43,Migranet-Respaldo,Instituto De Estudios Del Trabajo -Inet-,52,Guatemala,80,Guatemala,36,14.6349149,-90.5068824,0-5 personas,3,2
4351,43,Migranet-Respaldo,Central Del Movimiento De Trabajadores Costarricenses -Cmtc-,51,Costa Rica,78,San José,87,-31.8970823,-61.8598807,0-5 personas,2,2
4453,44,Experimentos Tecnológicos Locales,Socialtic,53,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,2,2
4554,45,Agencia Informativa Ciudadana,Beetec Inteligencia Colectiva,54,Chile,42,Santiago,92,-33.4488897,-70.6692655,6-10 personas,3,1
4655,46,Chapi - Poder Ciudadano,Softai,55,Argentina,62,San Salvador de Jujuy,90,-24.1857864,-65.2994767,11-25 personas,3,2
4756,47,"Co-Creamos (Plataforma De Co-Creación Digital Junto A Escuelas, Sector Publico Y Sociedad Civil)",Faro Digital,56,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,0-5 personas,2,2
4857,48,Somos Dos,Ecosocial Consultores S.A.S,57,Colombia,35,Bogotá,13,4.7109886,-74.072092,0-5 personas,1,1
4958,49,¿Es La Cárcel La Solución? Abrir El Debate Ciudadano Sobre El Sistema Penal Boliviano,Fundación Construir,58,Bolivia,77,La Paz,48,-16.489689,-68.1192936,6-10 personas,1,1
5059,50,Rede De Colaboração De Plantio Urbano De Produtos Orgânicos,Nau Interativa,59,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,6-10 personas,4,1
51510,51,Appacheta: Desarrollo De Un Turismo Colaborativo Que Apoye A La Mejora De Los Servicios Turísticos Basado En Recomendaciones Y Experiencias Ciudadanas ,Brújula Turística ,510,Bolivia,77,La Paz,48,-16.489689,-68.1192936,6-10 personas,4,1
5250,52,"Herramienta Para Diseño, Gestión Y Diagnóstico De Estrategia Para Gobiernos Locales Abiertos ",Dirección De Gobierno Abierto Y Datos Abiertos De La Provincia De Buenos Aires,50,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,0-5 personas,4,2
5249,52,"Herramienta Para Diseño, Gestión Y Diagnóstico De Estrategia Para Gobiernos Locales Abiertos ",Dirección De Gobierno Abierto Y Datos Abiertos,49,Argentina,62,Buenos Aires ,16,-34.6036844,-58.3815591,6-10 personas,4,2
522,52,"Herramienta Para Diseño, Gestión Y Diagnóstico De Estrategia Para Gobiernos Locales Abiertos ",Codeando México,2,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,4,2
5247,52,"Herramienta Para Diseño, Gestión Y Diagnóstico De Estrategia Para Gobiernos Locales Abiertos ",Fundación Conocimiento Abierto,47,Argentina,62,Córdoba,25,-31.4200833,-64.1887761,6-10 personas,2,2
5360,53,Sinais Vitais,Icom - Instituto Comunitário Grande Florianópolis,60,Brasil,57,Florianópolis,34,-27.5948698,-48.5482195,11-25 personas,4,1
5361,53,Sinais Vitais,Tekis Tecnologia Avançadas Ltda.,61,Brasil,57,Florianópolis,34,-27.5948698,-48.5482195,6-10 personas,2,1
5462,54,Cazavampiros,Invernaideas ,62,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,2,1
5563,55,Ligando Os Pontos,Eixo Público - Consultoria Júnior,63,Brasil,57,Limeira,52,-22.5838264,-47.4097695,101-500 personas,1,3
5664,56,Democratización De La Información Y Sostenibilidad De Los Medios,"Factus,S.A.",64,Guatemala,80,Guatemala,36,14.6349149,-90.5068824,11-25 personas,2,3
5765,57,Reconstruyendo Confianzas Desde La Política Local  A Través De Una Estrategia De Participación Ciudadana Transparente,Espacio Público,65,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,6-10 personas,1,3
5766,57,Reconstruyendo Confianzas Desde La Política Local  A Través De Una Estrategia De Participación Ciudadana Transparente,Socio Público ,66,Chile,42,Santiago,92,-33.4488897,-70.6692655,6-10 personas,1,1
5767,57,Reconstruyendo Confianzas Desde La Política Local  A Través De Una Estrategia De Participación Ciudadana Transparente,Municipalidad De Renca,67,Chile,42,Santiago,92,-33.4488897,-70.6692655,6-10 personas,1,1
5868,58,Labtam: Plataforma De Innovación Pública Para Ciudades En Latinoamérica,Pides Innovación Social,68,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,1,1
5969,59,Desarrollo De Un Sistema De Inteligencia Artificial Para El Análisis De Oportunidades De Inversión Y Mejora En El Transporte Público Concesionado,Krieger Electronics De Mexico Sa De Cv,69,México,51,Ciudad de México,22,19.4326077,-99.133208,501-1000 personas,1,1
6070,60,Economía Local Y Megamineria,Fundación Juventud Emprendedora,70,Chile,42,Iquique,42,-20.2307033,-70.1356692,0-5 personas,1,1
6171,61,Plataforma Ecosol Feminista,Guayí,71,Brasil,57,Porto Alegre,77,-30.0346471,-51.2176584,51-100 personas,1,2
6272,62,Observatorio Del Sector Social De La Economía,Instituto Nacional De La Economía Social,72,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,1,2
6373,63,Análise Da Governança De Ti Em Órgãos Públicos: Identificação Dos Índices De Alinhamento Por Órgão A Partir De Uma Plataforma Mobile ,Elleven,73,Brasil,57,João Pessoa,44,-7.1194958,-34.8450118,0-5 personas,2,1
6474,64,"Monitoreo Y Seguimiento De Temas Medio Ambientales En El Sur De Bolivia (Chuquisaca, Tarija, Potosí Y Chaco).",Fundación Acción Cultural Loyola (Aclo),74,Bolivia,77,Sucre,99,-19.0195852,-65.2619615,6-10 personas,2,1
6575,65,Bondiarapp,Bondiar,75,Argentina,62,Rosario ,84,-32.9442426,-60.6505388,26-50 personas,1,1
6676,66,Celula De Capacitação Tecnológica Para Meninas E Adolescentes - Cecatec,Lar De Maria Dolores,76,Brasil,57,Río de Janeiro,82,-22.9068467,-43.1728965,26-50 personas,4,1
6677,66,Celula De Capacitação Tecnológica Para Meninas E Adolescentes - Cecatec,Promec Projetos E Modelagens Em Engenharia E Computação Ltda,77,Brasil,57,Río de Janeiro,82,-22.9068467,-43.1728965,26-50 personas,1,1
6778,67,Relevamiento De Asentamientos Informales En Centro América,Techo,78,México,51,Oaxaca,71,17.0542297,-96.7132304,26-50 personas,1,1
6779,67,Relevamiento De Asentamientos Informales En Centro América,Wingu,79,Chile,42,Santiago ,92,-33.4488897,-70.6692655,51-100 personas,3,1
6880,68,Promoviendo La Transparencia Y La Participación Ambiental En El Sector Extractivo”,"Derecho, Ambiente Y Recursos Naturales",80,Perú,25,Arequipa,5,-16.4090474,-71.537451,0-5 personas,3,1
6981,69,Sistema De Avaliação Dos Portais De Transparência Dos Governos Municipais,Observatório Social De São José (Ossj),81,Brasil,57,São José,95,-28.21171,-49.1632,11-25 personas,3,1
7082,70,Comoayudo.Org,Comunicación Corporativa De Centroamérica,82,Costa Rica,78,San José,87,-31.8970823,-61.8598807,11-25 personas,1,1
7183,71,Warmi  (Mujer En Quechua) - ,Impacto Norte Srl,83,Argentina,62,San Salvador de Jujuy,90,-24.1857864,-65.2994767,0-5 personas,1,2
7284,72,Contratados.Org,"Centro De Los Derechos Del Migrante, Inc.",84,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,2,2
7285,72,Contratados.Org,Cívica Digital,85,México,51,Guadalajara,36,20.6596988,-103.3496092,0-5 personas,1,1
7386,73,Red Aceleradora Global,Red Aceleradora Global,86,Chile,42,Santiago,92,-33.4488897,-70.6692655,6-10 personas,1,1
7487,74,Plataforma Cívica Para La Participación Indígena Mediante Derecho Al Acceso A La Información. ,Servicios Universitarios Y Redes De Conocimiento En Oaxaca A C,87,México,51,Ciudad de México,22,19.4326077,-99.133208,26-50 personas,1,1
7588,75,Concive Y Tecnologia Civica,Consejo Civico De Vecinos,88,Guatemala,80,Antigua Guatemala,3,14.5586,90.7295,0-5 personas,1,1
7689,76,Portales Para El Ciudadano,Blackbox Solutions Y Copropiedad,89,Guatemala,80,Guatemala,36,14.6349149,-90.5068824,6-10 personas,1,1
7790,77,Tecnología Cívica Para Mejorar La Movilidad De Manera Participativa,World Resources Institute México,90,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,2,1
772,77,Tecnología Cívica Para Mejorar La Movilidad De Manera Participativa,Codeando México,2,México,51,Guadalajara,36,20.6596988,-103.3496092,0-5 personas,1,1
7891,78,Política Na Prática,Politize,91,Brasil,57,Joinville,45,-26.2834213,-48.8452269,6-10 personas,2,1
7892,78,Política Na Prática,Civitatis Consultoria E Assessoria Educacional Ltda,92,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,11-25 personas,2,1
794,79,Genus++: Plataforma De Comunicación Académica Plus,Lojasoft Solutions ,4,Ecuador,54,Loja,54,-4.0078909,-79.2112769,11-25 personas,2,1
8093,80,A Qué Precio: Un Observatorio De Compras Públicas,Chequeado,93,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,6-10 personas,2,1
8095,80,A Qué Precio: Un Observatorio De Compras Públicas,Diario La Nación,95,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,26-50 personas,2,6
8094,80,A Qué Precio: Un Observatorio De Compras Públicas,ACIJ,94,Argentina,62,Vicente López,107,-34.5281205,-58.473816,6-10 personas,2,6
8196,81,Hackeando La Corrupción Con Voz Ciudadana,Corporación Transparencia Por Colombia,96,Colombia,35,Bogotá,13,4.7109886,-74.072092,11-25 personas,2,6
8197,81,Hackeando La Corrupción Con Voz Ciudadana,Random Monkey,97,Colombia,35,Bogotá,13,4.7109886,-74.072092,0-5 personas,3,6
8298,82,Vojo Brasil - Conectando Comunidades Afros Do Brasil,Instituto Mídia Étnica,98,Brasil,57,Salvador,85,-12.977749,-38.5016301,0-5 personas,2,6
8399,83,Mapas Coletivos,Instituto Sincronicidade Para A Interação Social (Ispis),99,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,0-5 personas,3,6
83100,83,Mapas Coletivos,Mapas Coletivos,100,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,0-5 personas,1,6
84101,84,Plataforma De Bicicletas Públicas Y Compartidas De América Latina,Asociación Transporte Ativo,101,Brasil,57,Río de Janeiro,82,-22.9068467,-43.1728965,26-50 personas,1,1
85103,85,Observatorio Centroamericano De Datos Abiertos,Instituto Panameño De Derecho Y Nuevas Tecnologías,103,Panamá,84,Panamá,73,8.9823792,-79.5198696,0-5 personas,1,1
85102,85,Observatorio Centroamericano De Datos Abiertos,Datoselsalvador,102,El Salvador,79,San Salvador,89,13.6929403,-89.2181911,26-50 personas,1,1
86104,86,Información Y Gestión De Conocimientos De Políticas Publicas Con Enfoque De Genero ,Centro De Promoción De La Mujer Gregoria Apaza- Cpmga,104,Bolivia,77,El Alto,33,-16.5000936,-68.2146857,11-25 personas,1,1
86105,86,Información Y Gestión De Conocimientos De Políticas Publicas Con Enfoque De Genero ,Servicios E Información Para El Desarrollo Económico Local-Sidel,105,Bolivia,77,La Paz,48,-16.489689,-68.1192936,6-10 personas,2,1
8779,87,Datarepública: Tecnología Y Datos Para El Desarrollo Sostenible En América Latina,Wingu,79,Colombia,35,Bogotá,13,4.7109886,-74.072092,6-10 personas,2,3
87106,87,Datarepública: Tecnología Y Datos Para El Desarrollo Sostenible En América Latina,Centro De Pensamiento Estratégico Internacional - Cepei,106,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,11-25 personas,2,3
88107,88,Kiik. Plataforma Digital Para La Donación Altruista De Sangre. ,"Servicios De Ideas Creativas Para El Desarrollo De Organizaciones, A.C.",107,México,51,Ciudad de México,22,19.4326077,-99.133208,11-25 personas,1,3
89108,89,Comunidas 2.0,Grupo Faro,108,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,6-10 personas,1,1
89110,89,Comunidas 2.0,Jóvenes Contra La Violencia/Centroamérica,110,Guatemala,80,Guatemala,36,14.6349149,-90.5068824,26-50 personas,1,1
89109,89,Comunidas 2.0,Red Argentina Para La Cooperacio´N Internacional (Raci),109,Panamá,84,Panamá,73,8.9823792,-79.5198696,0-5 personas,1,1
9042,90,"Ciudatos, Te Acerca A Tu Ciudad",Fundación Corona,42,Colombia,35,Bogotá,13,4.7109886,-74.072092,11-25 personas,1,1
9097,90,"Ciudatos, Te Acerca A Tu Ciudad",Random Monkey,97,Colombia,35,Bogotá,13,4.7109886,-74.072092,101-500 personas,2,1
91111,91,Gestión Del Arbolado Urbano,O Instituto Ambiental,111,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,0-5 personas,2,1
92112,92,Cidades Transparentes: Inovações A Partir De Dados Abertos,Agenda Pública - Agência De Análise E Cooperação Em Políticas Públicas,112,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,0-5 personas,2,1
92113,92,Cidades Transparentes: Inovações A Partir De Dados Abertos,Núcleo De Informação E Coordenação Do Ponto Br - Nic.Br,113,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,6-10 personas,3,4
93114,93,Buscador De Becas Online ,Fundación Por Una Carrera,114,Chile,42,Santiago,92,-33.4488897,-70.6692655,> 1000 personas,1,4
94115,94,Protrash,Protrash,115,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,1,4
9569,95,Identidad Digital A Través De Blockchain Para La Reducción De Falsificación Y Corrupción,Krieger Electronics De Mexico Sa De Cv,69,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,2,4
95116,95,Identidad Digital A Través De Blockchain Para La Reducción De Falsificación Y Corrupción,Consejería Jurídica Y De Servicios Legales De La Cdmx,116,México,51,Monterrey,65,25.6866142,-100.3161126,0-5 personas,3,2
96117,96,"Red Peruana Por Ciudades Justas, Democráticas Y Sustentables",Trujillo Ahora,117,Perú,25,Lima,51,-12.0463731,-77.042754,26-50 personas,2,2
96119,96,"Red Peruana Por Ciudades Justas, Democráticas Y Sustentables",Lima Cómo Vamos,119,Perú,25,Lima,51,-12.0463731,-77.042754,11-25 personas,1,4
96120,96,"Red Peruana Por Ciudades Justas, Democráticas Y Sustentables",Detona,120,Perú,25,Lima,51,-12.0463731,-77.042754,0-5 personas,4,4
96118,96,"Red Peruana Por Ciudades Justas, Democráticas Y Sustentables","Arequipa, Te Queremos",118,Perú,25,Trujillo,103,-8.1090524,-79.0215336,0-5 personas,3,4
9779,97,Cdlv: El Monitor De Los Procesos De Urbanización De Villas,Wingu,79,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,11-25 personas,1,4
9794,97,Cdlv: El Monitor De Los Procesos De Urbanización De Villas,ACIJ,94,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,11-25 personas,2,1
98123,98,Construyamos Transparencia. Diálogo Y Monitoreo Comunitario De Proyectos De Infraestructura,Moodstudio,123,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,11-25 personas,1,1
98121,98,Construyamos Transparencia. Diálogo Y Monitoreo Comunitario De Proyectos De Infraestructura,Fundación Para El Desarrollo De Políticas Sustentables (Fundeps),121,Argentina,62,Córdoba,25,-31.4200833,-64.1887761,0-5 personas,2,2
98122,98,Construyamos Transparencia. Diálogo Y Monitoreo Comunitario De Proyectos De Infraestructura,Fundación Ambiente Y Recursos Naturales (Farn),122,Argentina,62,Córdoba,25,-31.4200833,-64.1887761,0-5 personas,2,2
99124,99,Compras Públicas Transparentes,Centro De Desarrollo Sostenible,124,Paraguay,85,Asunción,6,-25.2637399,-57.575926,11-25 personas,1,1
100125,100,Plataforma De Participación Y Seguridad Ciudadana,V-Smart S.A.,125,Argentina,62,Córdoba,25,-31.4200833,-64.1887761,51-100 personas,2,1
101126,101,Fresconsciente,Plataforma Nuup Ac,126,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,2,1
102127,102,Plataforma De Vigilancia Ciudadana,"Centro De Estudios Para La Equidad Y Gobernanza En Los Sistemas De Salud, Cegss",127,Guatemala,80,Guatemala,36,14.6349149,-90.5068824,101-500 personas,1,1
103128,103,Río Abierto,La Diaria,128,Uruguay,55,Montevideo,66,-34.9011127,-56.1645314,11-25 personas,2,1
104129,104,Avaliação Da Qualidade Da Merenda Escolar,Emude Tecnologia Em Cidades,129,Brasil,57,Río de Janeiro,82,-22.9068467,-43.1728965,51-100 personas,2,1
105130,105,Seguridad Maritima Integral En El Transporte Turistico De Pasajero En El Mulle  De La Bodeguita ,Zeus Tecnologica S.A,130,Colombia,35,Cartagena ,21,10.3910485,-75.4794257,11-25 personas,2,1
106131,106,Plataforma Para Participación Ciudadana De Vecinos ,"Fundación Hogares, Iap ",131,México,51,Ciudad de México,22,19.4326077,-99.133208,101-500 personas,2,1
10685,106,Plataforma Para Participación Ciudadana De Vecinos ,Cívica Digital,85,México,51,Monterrey,65,25.6866142,-100.3161126,0-5 personas,2,1
10778,107,Midiendo Los Niveles De Integración Sociourbana De Asentamientos Informales En Argentina,Techo,78,Argentina,62,Buenos Aires,16,-34.6036844,-58.3815591,6-10 personas,1,1
107132,107,Midiendo Los Niveles De Integración Sociourbana De Asentamientos Informales En Argentina,Manas Technology Solutions,132,Argentina,62,Vicente Lopez,107,-34.5281205,-58.473816,6-10 personas,3,1
108133,108,Revista Digital Plan V,"Sociedad De Hecho ""La Pesetera""",133,Ecuador,54,Quito,80,-0.1806532,-78.4678382,11-25 personas,3,1
109134,109,Prosas: Plataforma Para Seleção E Monitoramento De Projetos Sociais,Prosas Tecnologia Social Ltda,134,Brasil,57,Belo Horizonte,11,-19.9172987,-43.9345593,6-10 personas,3,2
110135,110,"La Tecnologia, Un Reto Para El Avance Técnico Y Político De Las Funcionarias Municipales.",Asociación Colectiva Para La Defensa De Los Derechos De Las Mujeres En Guatemala ,135,Guatemala,80,Guatemala,36,14.6349149,-90.5068824,6-10 personas,1,2
111136,111,Mapa Da Segurança E Transparência,Fórum Brasileiro De Segurança Pública,136,Brasil,57,São Paulo,97,-23.5505199,-46.6333094,0-5 personas,1,1
