NombreIniciativa,CantidadOrganizaciones,LineaFinanciamiento,ParticipacionCiudadana,TransparenciaRendicionCuentas,PeriodismoDatos,MapeoCiudadano,MonitoreoServiciosPublicos,UsoDatosAbiertos,OtraTematica,OrgNombreOrganizacion,OrgTipoOrganizacion,OrgPais,OrgCiudad,OrgWeb,OrgPrincipalAlinza,OrgDesarrolloPlataformasAplicativosTecnologicos,OrgVariosPaises,OrgSpinOffIncubacion,OrgParticipacionCiudadana,OrgTransparenciaRendicionCuentas,OrgParlamentoAbierto,OrgComprasPublicas,OrgPeriodismoDatos,OrgMapeoCiudadano,OrgMonitoreoServiciosPublicos,OrgOtraTematica,EscalamientoPlataformaExistente,AdaptacionPlataformaExistente,DesarrolloPlataformaNueva,Otros
"DESENVOLVIMENTO DE TECNOLOGIA “VERDE” NA PRODUÇÃO DE ENERGIA TÉRMICA, COM IMPACTO GLOBAL SIGNIFICATIVO NA MATRIZ ENERGÉTICA.",1,Iniciativas de tecnología con fines de lucro,1,1,1,1,1,0, beneficios financieros y retonrno tecnologiocos a cosuno población relacionada o electricidad. Nuevos productos de estos beneficios. disminución de la inversión de energía en la matriz de necesidad (hidroeléctrica),Centro Universitario de Belo Horizonte - UniBh / ANIMA Educación,Organización civil sin fines de lucro,Brasil,Belo Horizonte,http://www.unibh.br/,Sí,Sí,No,Si,1,1,0,0,0,0,0,,0,1,1,
Enspiral LatinoAmerica,2,Iniciativas de tecnología con fines de lucro,1,1,0,0,0,0,,Pictórica Comunicações S/C Ltda,Empresa privada (no incluye startup),Brasil,Sao Paulo,www.enspiral.com,Sí,Sí,No,No,1,1,0,0,0,0,0,,1,0,0,
Enspiral LatinoAmerica,2,Iniciativas de tecnología con fines de lucro,1,1,0,0,0,0,,Loomio Cooperative Limited,Otro,Otro,"Wellington, Nova Zelândia",www.loomio.org,No,Sí,Si,Si,1,1,0,0,0,0,0,,1,0,0,
YO PROPONGO,1,Iniciativas ya existentes,1,1,1,0,1,1,,"""PRESABIS"" Prevención, Salud y Bienestar Social",Organización civil sin fines de lucro,Bolivia,La Paz,,Sí,Sí,No,No,1,1,1,0,0,1,1,,1,1,0,
"Conectando mujeres, Conectando oportunidades",1,Desarrollo de nuevas iniciativas,1,0,0,0,0,0,Acceso a mercados con precio justo,MKK Group,Empresa privada (startup),Bolivia,La Paz,www.mktgroupsrl.com,Sí,No,No,No,1,0,0,0,0,0,0,Emprendedurismo ,0,0,1,
Jujuy Colaborativo,2,Desarrollo de nuevas iniciativas,1,1,0,1,0,1,,Cooperativa de Trabajo Tecnomática Limitada,Organización civil sin fines de lucro,Argentina,San Salvador de Jujuy,http://www.tecnomati.co,Sí,Sí,No,No,1,1,1,0,0,1,0,,1,0,0,
Jujuy Colaborativo,2,Desarrollo de nuevas iniciativas,1,1,0,1,0,1,,Dirección de Transparencia y Gobierno Abierto de la Provincia de Jujuy,Ente gubernamental,Argentina,San Salvador de Jujuy,http://www.gajujuy.gob.ar/,No,Sí,No,No,1,1,0,0,0,0,0,Apertura de Datos,1,0,0,
Transparencia y desarrollo cívico en Ecuador,2,Iniciativas ya existentes,1,1,1,0,0,1,,Fundación Ciudadanía y Desarrollo FCD,Organización civil sin fines de lucro,Ecuador,Quito,http://www.ciudadaniaydesarrollo.org/,Sí,Sí,No,No,1,1,1,0,1,0,0,Promoción de voto responsable,1,0,0,
Transparencia y desarrollo cívico en Ecuador,2,Iniciativas ya existentes,1,1,1,0,0,1,,Datalat,Otro,Ecuador,Quito,http://www.datalat.org,No,Sí,No,Si,1,0,0,0,0,0,1,"Uso de Datos abiertos, economia colaborativa y  analisis de datos",1,0,0,
Política en Contexto ,1,Iniciativas ya existentes,1,1,0,0,0,0,,Contexto,Organización civil sin fines de lucro,Costa Rica,San José,www.contexto.cr ,Sí,No,No,No,1,0,0,0,1,0,0,,0,1,0,
Red ciudadana de monitoreo de la calidad del aire,2,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,,DERIVE LAB SC,Organización civil sin fines de lucro,México,Querétaro,derivelab.org,Sí,No,Si,No,1,0,0,0,0,1,0,,1,0,1,
Red ciudadana de monitoreo de la calidad del aire,2,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,,"Grupo CIDIC + GRUPO CEMOS / Esc. de Ingeniería Eléctrica, Electrónica y de Telecomunicaciones / Universidad Industrial de Santander",Universidad,Colombia,Bucaramanga,www.uis.edu.co / http://e3t.uis.edu.co/eisi/grupo/cemos/#views/gm1/inicio,No,Sí,No,No,0,0,0,0,0,0,0,"Investigación en ingeniería eléctrica y biomédica. Desarrollo de prototipos, optimización, procesamiento digital",1,0,1,
"Sistema de votación de votación electrónica, autenticada por firma digital",1,Desarrollo de nuevas iniciativas,1,0,0,0,1,0,,Solvo,Empresa privada (startup),Costa Rica,Heredia,www.solvosoft.com,No,Sí,No,No,0,1,0,0,0,0,0,,0,1,0,
Hackeo al gasto electoral en las elecciones subnacionales - Perú 2018,2,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,,"Proética, Capítulo peruano de Transparency International",Organización civil sin fines de lucro,Perú,Lima,"www,proética.org.pe",Sí,No,No,No,0,1,0,1,0,0,0,,0,0,1,
Hackeo al gasto electoral en las elecciones subnacionales - Perú 2018,2,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,,Open Data Perú,Organización civil sin fines de lucro,Perú,Lima,www.odpe.org,No,Sí,No,Si,0,1,0,1,1,0,0,,0,0,1,
"CO-CREAMOS (plataforma de co-creación digital junto a escuelas, sector publico y sociedad civil)",1,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,Co-Diseño de Soluciones y Empoderamiento Digital para chicos y adolescentes,Faro Digital,Organización civil sin fines de lucro,Argentina,Buenos Aires,http://www.farodigital.org/,Sí,Sí,No,No,1,0,0,0,0,0,0,,0,0,1,
Demokratio,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,0,,Demokratio (Sparq Systems EIRL),Empresa privada (startup),Chile,Santiago,www.demokratio.net,Sí,Sí,Si,No,1,0,0,0,0,0,0,,1,1,0,
Mapa da Segurança e Transparência,1,Iniciativas ya existentes,0,1,1,1,1,0,,Fórum Brasileiro de Segurança Pública,Organización civil sin fines de lucro,Brasil,São Paulo,www.forumseguranca.org.br,Sí,Sí,No,No,0,1,0,0,1,1,1,,1,0,1,
Hora Salud,1,Iniciativas de tecnología con fines de lucro,1,0,0,1,1,0,Salud Pública,Durán & Asociados SpA.,Empresa privada (startup),Chile,Santiago,www.horasalud.cl,Sí,Sí,No,No,1,0,0,0,0,1,1,Logística y gestión de procesos,1,0,0,#NAME?
Tour virtual de parques nacionales de Costa Rica,1,Desarrollo de nuevas iniciativas,0,0,0,1,1,1,"Monitoreo de biodiversidad, fomento a actividades productivas (turismo)",Sociedad Civil Abriendo Datos Costa Rica,Organización civil sin fines de lucro,Costa Rica,San José,abriendodatoscostarica.org,Sí,No,No,No,0,0,0,0,0,1,0,Monitoreo de medios,0,0,1,
Innpactia: acercando recursos a las causas,1,Iniciativas de tecnología con fines de lucro,1,1,0,0,1,1,,Innpactia S.A.S.,Empresa privada (startup),Colombia,Bogotá,www.innpactia.com,Sí,Sí,Si,Si,1,1,0,0,0,0,0,Monitoreo y Evaluación; Monitoreo de Capacidades organizacionales.,1,1,0,
Repositorios digitales abiertos en sistemas de transporte público para promoción del acceso a información y transparencia,1,Desarrollo de nuevas iniciativas,1,1,0,1,0,1,"sensibilización, bibliotecas virtuales, recuperación de valores, fomentar la lectura.",Pontificia Universidad Católica del Perú,Universidad,Perú,Lima,www.pucp.edu.pe,Sí,Sí,No,No,1,1,0,0,1,1,1,,0,0,1,
Construyamos transparencia. Diálogo y monitoreo comunitario de proyectos de infraestructura,3,Desarrollo de nuevas iniciativas,1,1,0,1,0,0,,Fundación para el Desarrollo de Políticas Sustentables (FUNDEPS),Organización civil sin fines de lucro,Argentina,Córdoba,www.fundeps.org ,Sí,No,No,No,1,1,0,0,0,1,1,,0,0,1,
Construyamos transparencia. Diálogo y monitoreo comunitario de proyectos de infraestructura,3,Desarrollo de nuevas iniciativas,1,1,0,1,0,0,,Fundación Ambiente y Recursos Naturales (FARN),Organización civil sin fines de lucro,Argentina,Ciudad Autónoma de Buenos Aires,www.farn.org.ar,No,No,No,No,1,1,0,0,0,1,1,,0,0,1,
Construyamos transparencia. Diálogo y monitoreo comunitario de proyectos de infraestructura,3,Desarrollo de nuevas iniciativas,1,1,0,1,0,0,,MOODSTUDIO,Empresa privada (no incluye startup),Argentina,Córdoba,www.moodstudio.net,No,Sí,Si,No,1,1,0,0,1,1,1,,0,0,1,
Monitor Ciudadano,1,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Corporación Control Social Colombia,Organización civil sin fines de lucro,Colombia,Medellín,,Sí,Sí,No,No,0,0,0,0,0,0,0,"La organización es nueva, pero sus integrantes tienen experiencia en temas de Participación ciudadana, transparencia y rendición de cuentas",0,0,1,
Plataforma Cívica Ciudadana Cochabamba,1,Desarrollo de nuevas iniciativas,1,1,0,1,1,0,,Servicios Integrales para el Desarrollo,Organización civil sin fines de lucro,Bolivia,Cochabamba,,Sí,No,No,No,1,0,0,0,0,1,1,,0,0,1,
Desarrollo de sistema para transparentar la gestión municipal MIJIBOA ,2,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Asociación Intermunicipal del Valle de Jiboa MIJIBOA,Otro,El Salvador,Verapaz - San Vicente ,-,Sí,No,No,No,0,0,0,0,0,0,0,NO TIENE EXPERIENCIA,0,0,1,
Desarrollo de sistema para transparentar la gestión municipal MIJIBOA ,2,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto Salvadoreño de Desarrollo Municipal (ISDEM),Otro,El Salvador,"San Salvador: Oficinas Centrales, Regiones Central, Paracentral; Centro de Formación Municipal (CFM) y Registro Nacional de la Carrera Administrativa Municipal (RNCAM). Santa Ana: Oficina Regional Occidente San Miguel: Oficina Regional Oriente",http://www.isdem.gob.sv,No,Sí,No,No,0,1,0,1,0,1,1,,0,0,1,
Geomatica en organismos publicos,2,Iniciativas ya existentes,1,1,0,1,1,1,,"Secretaria de Planificacion, Desarrollo y Modernizacion de la Municipalidad de San Salvador de Jujuy",Ente gubernamental,Argentina,San Salvador de Jujuy,http://sansalvadordejujuy.gob.ar/,No,Sí,No,No,1,1,1,0,0,1,1,,1,1,1,
Geomatica en organismos publicos,2,Iniciativas ya existentes,1,1,0,1,1,1,,Digital Network SRL,Empresa privada (startup),Argentina,San Salvador de Jujuy,,Sí,Sí,No,No,0,0,0,0,0,1,1,,1,1,1,
Experimentos tecnológicos locales,1,Iniciativas ya existentes,1,1,1,1,1,1,Hardware abierto para recolección de datos e interacción ciudadana,SocialTIC A.C.,Organización civil sin fines de lucro,México,Ciudad de México,www.socialtic.org,Sí,No,Si,No,1,1,1,1,1,1,1,seguridad digital,0,1,0,También se buscará re-mezclar tecnologías existentes para buscar impacto social local. 
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Imaflora,Organización civil sin fines de lucro,Brasil,Piracicaba,www.imaflora.org,Sí,Sí,No,No,1,1,1,0,0,0,0,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,APPCIVICO - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,Empresa privada (startup),Brasil,São Paulo,https://www.eokoe.com/,No,Sí,No,Si,1,1,1,1,1,1,1,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto de Cidadania Empresarial do Maranhão,Organización civil sin fines de lucro,Brasil,São Luis,www.nossasaoluis.org.br,No,No,No,No,0,1,0,0,0,0,0,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto São Paulo Sustentável,Organización civil sin fines de lucro,Brasil,São Paulo,www.nossasaopaulo.org.br,No,Sí,No,No,1,1,1,0,1,1,1,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Movimento Nossa BH,Organización civil sin fines de lucro,Brasil,Belo Horizonte,nossabh.org.br,No,Sí,No,No,1,1,1,0,0,0,1,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,INESC-Instituto de Estudos Socioeconômicos,Organización civil sin fines de lucro,Brasil,Brasília,www.inesc.org.br,No,Sí,No,No,1,1,0,0,0,0,0,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto Ilhabela Sustentável,Organización civil sin fines de lucro,Brasil,Ilhabela,www.iis.org.br,No,Sí,No,No,1,1,1,1,1,1,1,Educação Cidadã,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto Nossa Ilhéus,Organización civil sin fines de lucro,Brasil,Ilhéus,http://nossailheus.org.br,No,Sí,No,No,1,1,1,0,0,1,1,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto Soma Brasil ,Organización civil sin fines de lucro,Brasil,João Pessoa ,https://www.facebook.com/institutosomabrasil,No,No,No,No,0,1,0,0,0,0,0,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Observatório do Recife,Organización civil sin fines de lucro,Brasil,Recife,www.observatoriodorecife.org.br,No,No,No sabe / No responde,No,0,1,0,0,0,0,0,,0,0,1,
Mobilidade Urbana Aberta,11,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Associação Casa Fluminense,Organización civil sin fines de lucro,Brasil,Rio de Janeiro,www.casafluminense.org.br,No,No,No,No,0,1,0,0,0,0,0,,0,0,1,
Herramientas para el uso del Open Contracting Data Standard y combatirla captura del estado desde sociedad civil,1,Iniciativas ya existentes,1,1,1,0,1,1,,"Project on Organizing, Development, Education, and Research (PODER)",Organización civil sin fines de lucro,México,Ciudad de México,projectpoder.org,Sí,Sí,Si,No,0,1,0,1,1,0,0,,1,1,0,
Participación Adolescente,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,1,Monitoreo Social,Fundación Mexicana para la Planeación Familiar A. C. (MEXFAM),Organización civil sin fines de lucro,México,Ciudad de México,www.mexfam.org.mx,Sí,No,No,No,0,0,0,0,0,0,0,Somos expertos en contenido educativo para adolescentes,0,0,1,
Habítala,1,Iniciativas de tecnología con fines de lucro,0,0,0,0,1,1,,Gobierno Fácil,Empresa privada (startup),México,Puebla,www.gobiernofacil.com,Sí,Sí,No,No,1,1,0,1,1,1,1,,1,0,0,
Doctor Smart,1,Iniciativas de tecnología con fines de lucro,0,0,0,1,1,0,Mejora de eficiencia de servicios de salud públicos,CASS (Central America Software Services),Empresa privada (no incluye startup),El Salvador,San Salvador,http://www.ca2s.com/,Sí,Sí,Si,No,0,0,0,0,0,1,1,Administración de información de salud,1,1,0,
Estação Juventude Ativa,1,Iniciativas ya existentes,1,1,0,1,1,1,,Instituto Acuña,Organización civil sin fines de lucro,Brasil,João Pessoa,ww.acuna.org.br,Sí,Sí,No,No,1,1,0,1,0,1,1,"projetos de desenvolvimento social, empreendedorismo, empoderamento feminino",0,0,1,
Avaliação da Qualidade da Merenda Escolar,1,Desarrollo de nuevas iniciativas,1,1,1,0,1,0,,eMude Tecnologia em Cidades,Empresa privada (startup),Brasil,Rio de Janeiro,www.emude.net,Sí,Sí,No,No,1,1,0,0,1,1,1,,1,0,0,
Textool: acceso y comprension efectiva de textos sociales,1,Iniciativas ya existentes,1,0,1,0,1,1,,Artnumerica ,Empresa privada (startup),Chile,Santiago,artnumerica.info,Sí,Sí,No,No,0,0,0,0,1,0,1,Uso información pública,1,0,0,"El proyecto considera el escalamiento de una plataforma/aplicación existente, el proyecto C80 (www.c80.cl).
Implica partir del desarrollo existente como caso particular en el proyecto C80, y llevarlo a otro nivel, incluyendo para este proyecto otros textos públicos como reglamentos, códigos civiles o penales, etc. 
C80 nace de la pregunta ¿Cómo pensamos en cambiar la constitución chilena, si no conocemos la actual ni cómo esta nos afecta? 
C80 tiene como objetivo principal “acercar” la Constitución Política a personas no-expertas es decir, gente “común y corriente”. En otras palabras, mostrar que lo que “está escrito” en ella sí influye directamente en varios aspectos de la vida de un ciudadano “normal”. 
Entre 2015 y 2016, C80 se preocupó principalmente en poner en marcha el proyecto y fines del 2016, establecer conclusiones de cómo debiese mejorar.
Es así que, a un año y medio de la puesta en marcha oficialmente (nov 2015), concluímos que es muy necesario desarrollar una segunda etapa que considere nuevos textos sociales relevantes como leyes, reglamentos, constituciones, etc.. 
"
Sistema de Gestão de Ideias para Segurança Pública,1,Desarrollo de nuevas iniciativas,1,0,0,0,1,0,,"Universidade Federal de Santa Catarina (UFSC); Centro Tecnológico (CTC); Departamento de Engenharia e Gestão do Conhecimento (dEGC); Núcleo de Estudos em Inteligência, Gestão e Tecnologias para Inovação (IGTI)",Universidad,Brasil,Araranguá,igti.ufsc.br,Sí,Sí,No,No,1,1,1,1,1,1,1,,0,0,1,
Benchmark Empresas y Paz,2,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,,Cámara de Comercio de Bogotá - CCB,Organización civil sin fines de lucro,Colombia,Bogotá,www.ccb.co,Sí,No,No,No,1,0,0,0,0,1,0,,0,0,1,
Benchmark Empresas y Paz,2,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,,Fundacion Ideas para la Paz,Fundación empresaria,Colombia,Bogotá,www.ideaspaz.org ,No,No,No,No,1,1,0,0,1,0,0,,0,0,1,
EspantaCacos,1,Iniciativas ya existentes,1,0,0,1,0,1,Articulación con Gobiernos. ,Jóvenes Contra la Violencia/Centroamérica,Organización civil sin fines de lucro,Guatemala,Guatemala,www.jovenescontralaviolencia.org,Sí,Sí,Si,No,1,0,0,0,0,1,0,,1,1,0,
Serendipia,1,Iniciativas de tecnología con fines de lucro,0,1,1,0,0,1,,Gobierno Fácil,Empresa privada (startup),México,Puebla,www.gobiernofacil.com,Sí,Sí,No,No,1,1,0,1,1,1,1,,0,0,1,
¡CONECTADOS! : TECNOLOGÍA CÍVICA PARA EL ACCESO DE LOS SERVICIOS DE SALUD Y EJERCICIO DE LOS DERECHOS SEXUALES Y DERECHOS REPRODUCTIVOS DE ADOLESCENTES Y JÓVENES ,1,Desarrollo de nuevas iniciativas,1,1,0,0,1,0,,INPPARES - INSTITUTO PERUANO DE PATERNIDAD RESPONSABLES ,Organización civil sin fines de lucro,Perú,LIMA,WWW.INPPARES.ORG ,Sí,No,No,Si,1,1,0,0,0,0,1,MONITOREO EN POLÍTICAS PÚBLICAS EN ACCESO A SERVICIOS DE SALUD SEXUAL Y SALUD REPRODUCTIVA Y EDUCACIÓN SEXUAL INTEGRAL ,0,0,1,
Alerta de Enchentes na Amazônia,2,Iniciativas ya existentes,0,1,1,0,0,1,,Repórter Brasil,Organización civil sin fines de lucro,Brasil,São Paulo,http://reporterbrasil.org.br/,Sí,Sí,No,No,0,1,0,0,1,0,0,,1,0,0,
Alerta de Enchentes na Amazônia,2,Iniciativas ya existentes,0,1,1,0,0,1,,InfoAmazonia,Otro,Brasil,São Paulo,http://infoamazonia.org/,No,Sí,Si,Si,1,1,0,0,1,1,1,,1,0,0,
Plataforma de Contrataciones Abiertas Mx,1,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Gobierno Fácil,Empresa privada (startup),México,Puebla,www.gobiernofacil.com,Sí,Sí,No,No,1,1,0,1,1,1,1,,0,0,1,
DenunciAPP GT,1,Desarrollo de nuevas iniciativas,1,1,1,1,0,0,,Movimiento Cívico Nacional,Organización civil sin fines de lucro,Guatemala,Guatemala,http://mcn.org.gt/,Sí,No,No,No,1,0,1,0,0,0,0,,0,0,1,
Atisbando el bus,1,Iniciativas ya existentes,1,0,0,1,1,1,,Sociedad Civil Abriendo Datos Costa Rica,Organización civil sin fines de lucro,Costa Rica,San José,abriendodatoscostarica.org,Sí,No,No,No,0,0,0,0,0,1,0,Monitoreo de medios,0,1,0,
Plataforma de Visualización de Plan de Metas de Nuevo León,1,Iniciativas ya existentes,1,1,0,0,1,1,,"Consejo Cívico de Instituciones de Nuevo León, A.C.",Organización civil sin fines de lucro,México,Monterrey,www.consejocivico.org.mx,Sí,No,No,No,1,1,0,0,0,0,1,"seguridad, corrupción, gobierno abierto",1,0,0,
¿Cuál Me Lleva?,1,Iniciativas ya existentes,1,0,0,1,1,0,Generación de Datos,Sistemas de Información Geográfica para la Planeación y Ordenamiento del Territorio (SIGPOT SA de CV),Empresa privada (no incluye startup),México,Tepic,www.sigpot.info,Sí,Sí,No,No,1,0,0,0,1,1,1,,1,0,0,
AguApps: Gestión Participativa del Agua para el Chaco,2,Iniciativas ya existentes,1,1,0,0,1,1,,Mingarã. Asociación para el Desarrollo Sustentable,Organización civil sin fines de lucro,Paraguay,Asunción,www.ongmingara.org,Sí,No,No,No,0,0,0,0,0,1,1,,0,1,0,
AguApps: Gestión Participativa del Agua para el Chaco,2,Iniciativas ya existentes,1,1,0,0,1,1,,CODIUM,Empresa privada (startup),Paraguay,Asuncion,www.codium.com.py,No,Sí,No,No,1,1,0,1,0,0,1,,0,1,0,
Comunidad indígena por la participación ciudadana en Oaxaca,1,Desarrollo de nuevas iniciativas,1,1,1,0,0,0,,"Centro Profesional Indígena de Asesoría, Defensa y Traducción A.C.",Organización civil sin fines de lucro,México,OAXACA DE JUAREZ,Cepiadet.org,Sí,No,No,No,0,0,0,0,0,0,1,,0,0,1,
Girasol em Rede,1,Iniciativas ya existentes,1,0,1,1,0,1,,Cooperativa Girasol de Cosumo Solidário,Organización civil sin fines de lucro,Brasil,Porto Alegre,coopgirasol.com.br,Sí,No,No,No,1,0,0,1,1,1,0,,0,1,1,
Chapi - Poder Ciudadano,1,Desarrollo de nuevas iniciativas,1,0,0,0,1,1,,SoftAI,Empresa privada (startup),Argentina,San Salvador de Jujuy,http://www.softai.com.ar/,No,Sí,No,Si,1,1,0,0,0,0,1,,0,0,1,
"Observatorio de Femicidios en Latinoamérica basado en Datos Abiertos Enlazados y Web Semántica (LOD4Vida, Linked Open Data por la Vida)",1,Desarrollo de nuevas iniciativas,1,0,1,0,0,1,,Grupo de Investigación de Sistemas Basados en el Conocimiento (Knowledge-based Systems Research Group - KBS-RG) de la Universidad Técnica Particular de Loja,Universidad,Ecuador,Loja,www.utpl.edu.ec,Sí,Sí,No,No,0,1,0,0,0,0,0,"Recursos Educativos Abiertos, Smart cities (Smart Land), Visualización de datos, Web Semántica, Open Data",0,0,1,
"Consolidación del portal para informantes de denuncias anónimas “Filtraciones Digitales” en México y su escalamiento a Colombia, Costa Rica y Uruguay.",1,Iniciativas ya existentes,1,0,1,0,0,0,"Protección de Datos Personales, Seguridad de la Información, Protección de Informantes (Whistleblowers)","Artículo 12, A.C. (programa “SonTusDatos”)",Organización civil sin fines de lucro,México,Ciudad de México,https://sontusdatos.org/,No,No,No,No,1,0,0,0,1,0,0,"Protección de Datos Personales, Seguridad de la Información, Protección de Informantes (Whistleblowers)",1,1,0,
Rio Doce Ativo,4,Desarrollo de nuevas iniciativas,1,1,1,1,0,0,,Associação Comunitária de Bento Rodrigues,Organización civil sin fines de lucro,Brasil,Mariana,https://www.facebook.com/bento.rodrigues.370?fref=ts,Sí,No,No,No,0,0,0,0,0,0,0,"a população de Bento Rodrigues, antes do rompimento de Fundão não precisava de pensar em desenvolver aplicativos ou algo parecido. ",0,0,1,
Rio Doce Ativo,4,Desarrollo de nuevas iniciativas,1,1,1,1,0,0,,GAFIT Soluções em Automação LTDA - ME,Empresa privada (startup),Brasil,Belo Horizonte, http://gafit.com.br,No,Sí,Si,No,0,1,0,0,0,0,1,,0,0,1,
